filename,statement,error,error_stack_trace
sql/bronze_scope/sql-reference-functions/Data_generation/randstr.slt,"SELECT randstr(GREATEST(1, abs(random()) % 10), random()) FROM table(generator(rowCount => 5));",000200: SQL compilation error: unsupported feature: Function 'randstr' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/randstr,"0: DataFusion error: This feature is not implemented: Function 'randstr' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/randstr, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'randstr' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/randstr"")"
sql/bronze_scope/sql-reference-commands/Query_syntax/qualify.slt,SELECT * FROM qual_test QUALIFY x > 0;,,"0: DataFusion error: This feature is not implemented: Function 'startswith' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/startswith, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'startswith' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/startswith"")"
sql/bronze_scope/sql-reference-functions/String_&_binary/startswith.slt,"WITH strings_test(s) AS (SELECT * FROM
  VALUES
    ('test'),
    ('testing'),
    ('best'),
    ('rest'),
    ('tempt'),
    ('stat'),
    (null)
)
SELECT * FROM strings_test WHERE startswith(s, 'te')",000200: SQL compilation error: unsupported feature: Function 'startswith' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/startswith,"0: DataFusion error: This feature is not implemented: Function 'startswith' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/startswith, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'startswith' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/startswith"")"
sql/bronze_scope/data-types/string.slt,"CREATE OR REPLACE TABLE test_nvarchar (
    id INTEGER,
    unicode_text NVARCHAR(50)
);","000200: SQL compilation error: unsupported feature: Unsupported SQL type Nvarchar(Some(IntegerLength { length: 50, unit: None }))","0: DataFusion error: Arrow error: Invalid argument error: 34512 is too large to store in a Decimal128 of precision 4. Max is 9999, at crates/core-executor/src/query.rs:1681:22
1: ArrowError(InvalidArgumentError(""34512 is too large to store in a Decimal128 of precision 4. Max is 9999""), None)"
sql/bronze_scope/sql-reference-functions/Conversion/try_to_decimal.slt,"SELECT column1 AS orig_string,
       TO_DECIMAL(column1) AS dec,
       TO_DECIMAL(column1, 10, 2) AS dec_with_scale,
       TO_DECIMAL(column1, 4, 2) AS dec_with_range_err
  FROM VALUES ('345.123')
  AS T(column1)",000200: Arrow error: Invalid argument error: 34512 is too large to store in a Decimal128 of precision 4. Max is 9999,"0: DataFusion error: Arrow error: Invalid argument error: 34512 is too large to store in a Decimal128 of precision 4. Max is 9999, at crates/core-executor/src/query.rs:1681:22
1: ArrowError(InvalidArgumentError(""34512 is too large to store in a Decimal128 of precision 4. Max is 9999""), None)"
sql/bronze_scope/data-types/string.slt,"INSERT INTO test_nvarchar VALUES
    (1, 'English text'),
    (2, 'Chinese text'),      -- Simplified Unicode
    (3, 'Japanese text'),     -- Simplified Unicode
    (4, 'Arabic text'),       -- Simplified Unicode
    (5, 'Emoji text'),        -- Simplified Unicode
    (6, NULL);",000200: Error during planning: table 'embucket.public.test_nvarchar' not found,"0: DataFusion error: Error during planning: table 'embucket.public.test_nvarchar' not found, at crates/core-executor/src/query.rs:1638:14
1: Plan(""table 'embucket.public.test_nvarchar' not found"")"
sql/bronze_scope/sql-reference-functions/Conversion/try_to_decimal.slt,"SELECT column1 AS orig_string,
       TO_DECIMAL(column1, '$9,999.00') AS num,
       TO_DECIMAL(column1, '$9,999.00', 6, 2) AS num_with_scale,
       TO_DECIMAL(column1, 6, 2) AS num_with_format_err
  FROM VALUES ('$7,543.21')
  AS T(column1)","000200: Arrow error: Cast error: Cannot cast string '$7,543.21' to value of Decimal128(38, 10) type","0: DataFusion error: Arrow error: Cast error: Cannot cast string '$7,543.21' to value of Decimal128(38, 10) type, at crates/core-executor/src/query.rs:1681:22
1: ArrowError(CastError(""Cannot cast string '$7,543.21' to value of Decimal128(38, 10) type""), None)"
sql/bronze_scope/data-types/string.slt,"SELECT id, unicode_text FROM test_nvarchar ORDER BY id;","000200: SQL compilation error: Diagnostic { kind: Error, message: ""table 'embucket.public.test_nvarchar' not found"", span: None, notes: [], helps: [] }","0: DataFusion error: Error during planning: table 'embucket.public.test_nvarchar' not found, at crates/core-executor/src/query.rs:1638:14
1: Diagnostic(Diagnostic { kind: Error, message: ""table 'embucket.public.test_nvarchar' not found"", span: None, notes: [], helps: [] }, Plan(""table 'embucket.public.test_nvarchar' not found""))"
sql/bronze_scope/sql-reference-functions/Date_&_time/to_time.slt,"WITH demo1_time AS (
  SELECT * FROM VALUES
    ('Seconds',      '31536001'),
    ('Milliseconds', '31536002400'),
    ('Microseconds', '31536003600000'),
    ('Nanoseconds',  '31536004900000000')
  AS t(description, value)
)
SELECT description,
       value,
       TO_TIMESTAMP(value),
       TO_TIME(value)
  FROM demo1_time
  ORDER BY value",000200: Arrow error: Parser error: Error parsing timestamp from '31536001': timestamp must contain at least 10 characters,"0: DataFusion error: Error during planning: table 'embucket.public.test_nvarchar' not found, at crates/core-executor/src/query.rs:1638:14
1: Diagnostic(Diagnostic { kind: Error, message: ""table 'embucket.public.test_nvarchar' not found"", span: None, notes: [], helps: [] }, Plan(""table 'embucket.public.test_nvarchar' not found""))"
sql/bronze_scope/sql-reference-functions/String_&_binary/position.slt,"SELECT POSITION('an', 'banana', 1)","000200: Error during planning: Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.
	Candidate functions:
	strpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))))","0: DataFusion error: Error during planning: Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.
	Candidate functions:
	strpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String)))), at crates/core-executor/src/query.rs:1638:14
1: Plan(""Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.\\n\\tCandidate functions:\\n\\tstrpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))))"")"
sql/bronze_scope/data-types/string.slt,"CREATE OR REPLACE TABLE test_nchar (
    id INTEGER,
    fixed_unicode NCHAR(10)
);","000200: SQL compilation error: unsupported feature: Unsupported SQL type Custom(ObjectName([Identifier(Ident { value: ""NCHAR"", quote_style: None, span: Span(Location(1,79)..Location(1,84)) })]), [""10""])","0: DataFusion error: Error during planning: Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.
	Candidate functions:
	strpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String)))), at crates/core-executor/src/query.rs:1638:14
1: Plan(""Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.\\n\\tCandidate functions:\\n\\tstrpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))))"")"
sql/bronze_scope/sql-reference-functions/String_&_binary/position.slt,"SELECT POSITION('an', 'banana', 3)","000200: Error during planning: Function 'strpos' expects 2 arguments but received 3 No function matches the given name and argument types 'strpos(Utf8, Utf8, Int64)'. You might need to add explicit type casts.
	Candidate functions:
	strpos(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))))","0: DataFusion error: Error during planning: table 'embucket.public.test_nchar' not found, at crates/core-executor/src/query.rs:1638:14
1: Plan(""table 'embucket.public.test_nchar' not found"")"
sql/bronze_scope/data-types/string.slt,"INSERT INTO test_nchar VALUES
    (1, 'ABC'),
    (2, 'XYZ'),  -- Simplified instead of Unicode
    (3, NULL);",000200: Error during planning: table 'embucket.public.test_nchar' not found,"0: DataFusion error: Error during planning: table 'embucket.public.test_nchar' not found, at crates/core-executor/src/query.rs:1638:14
1: Plan(""table 'embucket.public.test_nchar' not found"")"
sql/bronze_scope/data-types/string.slt,"SELECT id, fixed_unicode FROM test_nchar ORDER BY id;","000200: SQL compilation error: Diagnostic { kind: Error, message: ""table 'embucket.public.test_nchar' not found"", span: None, notes: [], helps: [] }",
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/as_double-real.slt,"WITH as_double_example AS (
  SELECT TO_VARIANT(TO_DOUBLE(1.23)) AS double1
)
SELECT AS_DOUBLE(double1) double_value
FROM as_double_example",000200: SQL compilation error: unsupported feature: Function 'to_double' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_double,"0: DataFusion error: This feature is not implemented: Function 'to_double' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_double, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'to_double' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_double"")"
sql/bronze_scope/sql-reference-functions/Date_&_time/timediff.slt,"SELECT DATEDIFF(YEAR, '2017-01-01', '2019-01-01') AS Years","000200: Error during planning: Internal error: Function 'datediff' failed to match any signature, errors: Internal error: Expect TypeSignatureClass::Timestamp but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker,Internal error: Expect TypeSignatureClass::Time but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker,Internal error: Expect TypeSignatureClass::Native(LogicalType(Native(Date), Date)) but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker No function matches the given name and argument types 'datediff(Utf8, Utf8, Utf8)'. You might need to add explicit type casts.
	Candidate functions:
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Timestamp), Coercion(TypeSignatureClass::Timestamp))
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Time), Coercion(TypeSignatureClass::Time))
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(Date), Date))), Coercion(TypeSignatureClass::Native(LogicalType(Native(Date), Date))))",
sql/bronze_scope/sql-reference-functions/String_&_binary/lpad.slt,"WITH raw_strings(v) AS (
  SELECT * FROM VALUES
    ('Hi'),
    ('-123.00'),
    ('Twelve Dollars')
),
padding_example AS (
  SELECT
    v,
    TO_BINARY(HEX_ENCODE(v), 'HEX') AS b
  FROM
    raw_strings
)
SELECT
  b,
  LPAD(b, 10, TO_BINARY(HEX_ENCODE(' '))) AS pad_with_blank,
  LPAD(b, 10, TO_BINARY(HEX_ENCODE('$'))) AS pad_with_dollar_sign
FROM
  padding_example
ORDER BY
  b;","252005: Failed to convert: field b: BINARY::2d3132332e3030, Error: Non-base16 digit found",
sql/bronze_scope/sql-reference-functions/Date_&_time/timediff.slt,"SELECT DATEDIFF(MONTH, '2017-01-01', '2017-12-31') AS Months","000200: Error during planning: Internal error: Function 'datediff' failed to match any signature, errors: Internal error: Expect TypeSignatureClass::Timestamp but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker,Internal error: Expect TypeSignatureClass::Time but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker,Internal error: Expect TypeSignatureClass::Native(LogicalType(Native(Date), Date)) but received NativeType::String, DataType: Utf8.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker.
This was likely caused by a bug in DataFusion's code and we would welcome that you file an bug report in our issue tracker No function matches the given name and argument types 'datediff(Utf8, Utf8, Utf8)'. You might need to add explicit type casts.
	Candidate functions:
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Timestamp), Coercion(TypeSignatureClass::Timestamp))
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Time), Coercion(TypeSignatureClass::Time))
	datediff(Coercion(TypeSignatureClass::Native(LogicalType(Native(String), String))), Coercion(TypeSignatureClass::Native(LogicalType(Native(Date), Date))), Coercion(TypeSignatureClass::Native(LogicalType(Native(Date), Date))))",
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/object_construct_keep_null.slt,"WITH demo_table_1_with_nulls AS (
  SELECT * FROM VALUES
    ('Manitoba', '2024-01-18'::DATE),
    ('British Columbia', NULL),
    ('Alberta', '2024-01-19'::DATE),
    (NULL, '2024-01-20'::DATE)
  AS t(province, created_date)
)
SELECT OBJECT_CONSTRUCT(*) AS oc,
       OBJECT_CONSTRUCT_KEEP_NULL(*) AS oc_keep_null
  FROM demo_table_1_with_nulls
  ORDER BY oc_keep_null['PROVINCE']","000200: SQL compilation error: unsupported feature: Physical plan does not support logical expression Wildcard { qualifier: None, options: WildcardOptions { ilike: None, exclude: None, except: None, replace: None, rename: None } }","0: DataFusion error: This feature is not implemented: Physical plan does not support logical expression Wildcard { qualifier: None, options: WildcardOptions { ilike: None, exclude: None, except: None, replace: None, rename: None } }, at crates/core-executor/src/query.rs:1681:22
1: NotImplemented(""Physical plan does not support logical expression Wildcard { qualifier: None, options: WildcardOptions { ilike: None, exclude: None, except: None, replace: None, rename: None } }"")"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/object_construct_keep_null.slt,"SELECT OBJECT_CONSTRUCT('key_1', 'one', 'key_2', NULL) AS WITHOUT_KEEP_NULL,
       OBJECT_CONSTRUCT_KEEP_NULL('key_1', 'one', 'key_2', NULL) AS KEEP_NULL_1,
       OBJECT_CONSTRUCT_KEEP_NULL('key_1', 'one', NULL, 'two') AS KEEP_NULL_2",000200: object_construct key must be a string,
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/is_time.slt,"WITH vardttm(v) AS (
    SELECT TO_VARIANT(TO_DATE('2024-02-24'))
    UNION ALL
    SELECT TO_VARIANT(TO_TIME('20:57:01.123456789+07:00'))
    UNION ALL
    SELECT TO_VARIANT(TO_TIMESTAMP('2023-02-24 12:00:00.456'))
    UNION ALL
    SELECT TO_VARIANT(TO_TIMESTAMP_LTZ('2022-02-24 13:00:00.123 +01:00'))
    UNION ALL
    SELECT TO_VARIANT(TO_TIMESTAMP_NTZ('2021-02-24 14:00:00.123 +01:00'))
    UNION ALL
    SELECT TO_VARIANT(TO_TIMESTAMP_TZ('2020-02-24 15:00:00.123 +01:00'))
)
SELECT v
FROM vardttm
WHERE IS_TIME(v);",000200: SQL compilation error: unsupported feature: Function 'is_time' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_time,"0: DataFusion error: This feature is not implemented: Function 'is_time' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_time, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'is_time' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_time"")"
